channel_id,video_id
UC-ni0xL6ILMFdzf1A2s4__A,3
UC-oDG7w0eFUQ-IKJ4okMGSg,1
UC-oGuIp5SMPbZhlBLUWLpnA,1
UC-oXQjQlg6vqEr5_fs7Iu6w,1
UC-pB4wAI55MJEpaWj1AJZ4A,16
UC-pMcuthA5uVSLG747ayTTQ,1
UC-psmgLP5ypCv1ILMvgIfgg,2
UC-qwki74wr2byqRX7ItTsbQ,4
UC-r68U89bW830hdC5eBI66w,6
UC-rlLDMFk14zAVvLeXgLzyQ,25
UC-s-U5Ya4pOfROd1BlnlrTw,1
UC-sU7T5XV0dNQiDv7URJSxg,3
UC-sY92cv3uD7uPqMAjfjCWQ,2
UC-te8hQYn-O-tlANqOrQ-Vg,3
UC-toBXJuoumnoRFK26Vvs8Q,1
UC-u41TJJMsL4NIXmJI8HBiA,1
UC-v6yoDKck_1Q34ETGUG81A,1
UC-vLe8_VdMFqrfnpKFCP1VQ,1
UC-veBOEvvOdSPIw6rojdk7A,1
UC-wdveKCDbbjK0_rzR2XhVA,8
UC-xDn3-rqGukR85SMoFD-OA,1
UC-x_GphuYylpfyRaLie4nzw,1
UC-xszMeVOaPZ2IP1OSeIMsA,1
UC-yoONs5jDuRsPo_hKEL9lg,3
UC-zVXVs-Eu9H6aesvcbISww,1
UC0-CQzjXnr41fk-nV8jXM1Q,1
UC0-IR_lXB7Ujm97giBivYKQ,331
UC0-JZXYwd9nWnM_FUeF549Q,5
UC0-dPrvdzzRgM7DzbHfRtsw,10
UC0-nB9j8UyIc1tnIdasopHA,1
UC00ifCvU8YOOzbL3RdiSTDw,2
UC00tSvwToOHlCsncm_UAtDA,1
UC01I8NrRMTymBfo1oV2-ZmA,1
UC01QQQlM3CepDAvgcIseUIA,5
UC01X7d2bKFGxdk8tQ0ZKzOQ,6
UC01mrFtTQHxicrGbm3fpUqg,2
UC01nP3RvKiRFoEUlG2Snyhg,4
UC02ff0MLGEw2eHXDwBMcqjQ,2
